locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
PA0377,,1,405,NE,Non
PA0378,,1,405,NE,Non
PA0379,,1,405,NE,Non
PA0380,,1,405,NE,Non
PA0381,thiG,1,405,NE,Non
PA0382,micA,1,405,NE,Non
PA0383,,1,405,NE,Non
PA0384,,1,405,NE,Non
PA0385,,1,405,NE,Non
PA0386,,1,405,NE,Non
PA0387,,1,405,NE,Non
PA0388,,1,405,NE,Non
PA0389,,1,405,NE,Non
PA0390,metX,1,405,NE,Non
PA0391,,1,405,NE,Non
"PA0392,,2,""405,421"",""NE,E"",Conditional"
PA0393,proC,1,405,NE,Non
PA0394,,1,405,NE,Non
PA0395,pilT,1,405,NE,Non
PA0396,pilU,1,405,NE,Non
PA0397,,1,405,NE,Non
PA0398,,1,405,NE,Non
PA0399,,1,405,NE,Non
PA0400,,1,405,NE,Non
PA0401,,1,405,NE,Non
PA0402,pyrB,1,405,NE,Non
PA0403,pyrR,1,405,NE,Non
PA0404,,1,405,E,Essential
PA0405,,1,405,NE,Non
PA0406,tonB3,1,405,NE,Non
PA0407,gshB,1,405,NE,Non
"PA0408,pilG,2,""405,421"",""NE,E"",Conditional"
PA0409,pilH,1,405,NE,Non
PA0410,pilI,1,405,NE,Non
"PA0411,pilJ,2,""405,421"",""NE,E"",Conditional"
PA0412,pilK,1,405,NE,Non
"PA0413,chpA,2,""405,421"",""NE,E"",Conditional"
PA0414,chpB,1,405,NE,Non
PA0415,chpC,1,405,NE,Non
PA0416,chpD,1,405,NE,Non
PA0417,chpE,1,405,NE,Non
PA0418,,1,405,NE,Non
PA0419,,1,405,NE,Non
PA0420,bioA,1,405,NE,Non
PA0421,,1,405,NE,Non
PA0422,,1,405,NE,Non
PA0423,pasP,1,405,NE,Non
"PA0424,mexR,2,""405,421"",""NE,E"",Conditional"
PA0425,mexA,1,405,NE,Non
PA0426,mexB,1,405,NE,Non
"PA0427,oprM,2,""405,421"",""NE,E"",Conditional"
PA0428,,1,405,NE,Non
PA0429,,1,405,NE,Non
PA0430,metF,1,405,NE,Non
PA0431,,1,405,NE,Non
PA0432,sahH,1,405,NE,Non
PA0433,,1,405,NE,Non
PA0434,,1,405,NE,Non
PA0435,,1,405,NE,Non
PA0436,,1,405,NE,Non
PA0437,codA,1,405,NE,Non
PA0438,codB,1,405,E,Essential
PA0439,,1,405,NE,Non
PA0440,,1,405,NE,Non
PA0441,dht,1,405,NE,Non
PA0442,,1,405,NE,Non
PA0443,,1,405,NE,Non
PA0444,,1,405,NE,Non
PA0445,,1,405,NE,Non
PA0446,,1,405,NE,Non
PA0447,gcdH,1,405,NE,Non
PA0448,,1,405,NE,Non
PA0449,,1,405,NE,Non
PA0450,,1,405,NE,Non
PA0451,,1,405,NE,Non
PA0452,,1,405,NE,Non
PA0453,,1,405,NE,Non
PA0454,,1,405,NE,Non
PA0455,dbpA,1,405,NE,Non
PA0456,,1,405,NE,Non
PA0457,,1,405,NE,Non
PA0457.1,,1,405,NE,Non
PA0458,,1,405,NE,Non
PA0459,,1,405,NE,Non
PA0460,,1,405,NE,Non
PA0461,,1,405,NE,Non
PA0462,,1,405,NE,Non
PA0463,creB,1,405,NE,Non
PA0464,creC,1,405,NE,Non
PA0465,creD,1,405,NE,Non
PA0466,,1,405,NE,Non
PA0467,,1,405,NE,Non
PA0468,,1,405,NE,Non
PA0469,,1,405,NE,Non
PA0470,fiuA,1,405,NE,Non
PA0471,,1,405,NE,Non
PA0472,,1,405,NE,Non
PA0473,,1,405,NE,Non
PA0474,,1,405,NE,Non
PA0475,,1,405,NE,Non
PA0476,,1,405,NE,Non
PA0477,,1,405,NE,Non
PA0478,,1,405,NE,Non
PA0479,,1,405,NE,Non
PA0480,,1,405,NE,Non
PA0481,,1,405,NE,Non
PA0482,glcB,1,405,NE,Non
PA0483,,1,405,NE,Non
PA0484,,1,405,NE,Non
PA0485,,1,405,NE,Non
PA0486,,1,405,NE,Non
PA0487,,1,405,NE,Non
PA0488,,1,405,NE,Non
PA0489,,1,405,NE,Non
PA0490,,1,405,NE,Non
PA0491,,1,405,NE,Non
PA0492,,1,405,NE,Non
PA0493,,1,405,NE,Non
PA0494,,1,405,NE,Non
PA0495,,1,405,NE,Non
PA0496,,1,405,NE,Non
PA0497,,1,405,NE,Non
PA0498,,1,405,NE,Non
PA0499,,1,405,NE,Non
PA0500,bioB,1,405,NE,Non
PA0501,bioF,1,405,NE,Non
"PA0502,,2,""405,421"",""NE,E"",Conditional"
PA0503,,1,405,NE,Non
PA0504,bioD,1,405,NE,Non
PA0505,,1,405,NE,Non
PA0506,,1,405,NE,Non
PA0507,,1,405,NE,Non
PA0508,,1,405,NE,Non
PA0509,nirN,1,405,NE,Non
PA0510,,1,405,NE,Non
PA0511,nirJ,1,405,NE,Non
PA0512,,1,405,NE,Non
PA0513,,1,405,NE,Non
PA0514,nirL,1,405,NE,Non
PA0515,,1,405,NE,Non
PA0516,nirF,1,405,NE,Non
PA0517,nirC,1,405,NE,Non
PA0518,nirM,1,405,NE,Non
PA0519,nirS,1,405,NE,Non
PA0520,nirQ,1,405,NE,Non
PA0521,,1,405,NE,Non
PA0522,,1,405,NE,Non
PA0523,norC,1,405,NE,Non
PA0524,norB,1,405,NE,Non
PA0525,,1,405,NE,Non
PA0526,,1,405,NE,Non
PA0527,dnr,1,405,NE,Non
PA0527.1,rsmY,1,405,NE,Non
PA0528,,1,405,NE,Non
PA0529,,1,405,NE,Non
PA0530,,1,405,NE,Non
PA0531,,1,405,NE,Non
PA0532,,1,405,NE,Non
PA0533,,1,405,NE,Non
PA0534,,1,405,NE,Non
PA0535,,1,405,NE,Non
PA0536,,1,405,NE,Non
PA0537,,1,405,NE,Non
PA0538,dsbB,1,405,NE,Non
PA0539,,1,405,NE,Non
PA0540,,1,405,NE,Non
PA0541,,1,405,NE,Non
PA0542,,1,405,NE,Non
PA0543,,1,405,NE,Non
PA0544,,1,405,NE,Non
PA0545,,1,405,NE,Non
PA0546,metK,1,405,NE,Non
PA0547,,1,405,NE,Non
PA0548,tktA,1,405,E,Essential
PA0549,,1,405,NE,Non
PA0550,,1,405,NE,Non
PA0551,epd,1,405,E,Essential
PA0552,pgk,1,405,NE,Non
PA0553,,1,405,NE,Non
PA0554,,1,405,NE,Non
PA0555,fda,1,405,E,Essential
PA0556,,1,405,NE,Non
PA0557,,1,405,NE,Non
PA0558,,1,405,NE,Non
PA0559,,1,405,NE,Non
PA0560,,1,405,NE,Non
PA0561,,1,405,NE,Non
PA0562,,1,405,NE,Non
PA0563,,1,405,NE,Non
PA0564,,1,405,NE,Non
PA0565,,1,405,NE,Non
PA0566,,1,405,NE,Non
PA0567,,1,405,NE,Non
PA0568,,1,405,NE,Non
PA0569,,1,405,NE,Non
PA0570,,1,405,NE,Non
PA0571,,1,405,NE,Non
PA0572,,1,405,NE,Non
PA0573,,1,405,NE,Non
PA0574,,1,405,NE,Non
PA0575,,1,405,NE,Non
PA0576,rpoD,1,405,E,Essential
PA0577,dnaG,1,405,E,Essential
PA0578,,1,405,NE,Non
PA0579,rpsU,1,405,NE,Non
PA0580,gcp,1,405,E,Essential
PA0581,,1,405,NE,Non
PA0582,folB,1,405,E,Essential
PA0583,,1,405,NE,Non
PA0584,cca,1,405,NE,Non
PA0585,,1,405,NE,Non
PA0586,,1,405,NE,Non
PA0587,,1,405,NE,Non
PA0588,,1,405,NE,Non
PA0589,,1,405,NE,Non
PA0590,apaH,1,405,NE,Non
PA0591,,1,405,NE,Non
"PA0592,ksgA,2,""405,421"",""NE,E"",Conditional"
PA0593,pdxA,1,405,E,Essential
PA0594,surA,1,405,E,Essential
PA0595,ostA,1,405,NE,Non
PA0596,,1,405,NE,Non
PA0597,,1,405,NE,Non
PA0598,,1,405,NE,Non
PA0599,,1,405,NE,Non
PA0600,,1,405,NE,Non
PA0601,,1,405,NE,Non
PA0602,,1,405,NE,Non
PA0603,,1,405,NE,Non
PA0604,,1,405,NE,Non
PA0605,,1,405,NE,Non
PA0606,,1,405,NE,Non
PA0607,rpe,1,405,E,Essential
PA0608,,1,405,NE,Non
PA0609,trpE,1,405,NE,Non
PA0610,prtN,1,405,NE,Non
PA0611,prtR,1,405,E,Essential
PA0612,ptrB,1,405,NE,Non
PA0613,,1,405,NE,Non
PA0614,,1,405,NE,Non
PA0615,,1,405,NE,Non
PA0616,,1,405,NE,Non
PA0617,,1,405,NE,Non
PA0618,,1,405,NE,Non
PA0619,,1,405,NE,Non
PA0620,,1,405,NE,Non
PA0621,,1,405,NE,Non
PA0622,,1,405,NE,Non
PA0623,,1,405,NE,Non
PA0624,,1,405,NE,Non
PA0625,,1,405,NE,Non
PA0626,,1,405,NE,Non
PA0627,,1,405,NE,Non
PA0628,,1,405,NE,Non
PA0629,,1,405,NE,Non
PA0630,,1,405,NE,Non
PA0631,,1,405,NE,Non
PA0632,,1,405,NE,Non
PA0633,,1,405,NE,Non
PA0634,,1,405,NE,Non
PA0635,,1,405,NE,Non
PA0636,,1,405,NE,Non
PA0637,,1,405,NE,Non
PA0638,,1,405,NE,Non
PA0639,,1,405,NE,Non
PA0640,,1,405,NE,Non
PA0641,,1,405,NE,Non
PA0642,,1,405,NE,Non
PA0643,,1,405,NE,Non
PA0644,,1,405,NE,Non
PA0645,,1,405,NE,Non
PA0646,,1,405,NE,Non
PA0647,,1,405,NE,Non
PA0648,,1,405,NE,Non
PA0649,trpG,1,405,NE,Non
PA0650,trpD,1,405,NE,Non
PA0651,trpC,1,405,NE,Non
PA0652,vfr,1,405,NE,Non
PA0653,,1,405,NE,Non
PA0654,speD,1,405,NE,Non
PA0655,,1,405,E,Essential
PA0656,,1,405,NE,Non
PA0657,,1,405,NE,Non
PA0658,,1,405,NE,Non
PA0659,,1,405,NE,Non
PA0660,,1,405,NE,Non
PA0661,,1,405,NE,Non
"PA0662,argC,2,""405,421"",""NE,E"",Conditional"
"PA0663,,2,""421,405"",""E,NE"",Conditional"
"PA0664,,2,""405,421"",""NE,E"",Conditional"
PA0665,,1,405,E,Essential
PA0666,,1,405,NE,Non
"PA0667,,2,""405,421"",""NE,E"",Conditional"
PA0668,tyrZ,1,405,NE,Non
PA0669,,1,405,NE,Non
PA0670,,1,405,NE,Non
PA0671,,1,405,NE,Non
PA0672,hemO,1,405,NE,Non
PA0673,,1,405,NE,Non
PA0674,vreA,1,405,NE,Non
PA0675,vreI,1,405,NE,Non
PA0676,vreR,1,405,NE,Non
PA0677,,1,405,NE,Non
PA0678,,1,405,E,Essential
PA0679,,1,405,NE,Non
PA0680,,1,405,NE,Non
PA0681,,1,405,NE,Non
PA0682,,1,405,NE,Non
PA0683,,1,405,NE,Non
PA0684,,1,405,NE,Non
PA0685,,1,405,NE,Non
PA0686,,1,405,NE,Non
PA0687,,1,405,NE,Non
PA0688,,1,405,NE,Non
PA0689,,1,405,NE,Non
PA0690,,1,405,NE,Non
PA0691,,1,405,NE,Non
PA0692,,1,405,NE,Non
PA0693,exbB2,1,405,NE,Non
PA0694,exbD2,1,405,NE,Non
PA0695,,1,405,NE,Non
PA0696,,1,405,NE,Non
PA0697,,1,405,NE,Non
PA0698,,1,405,NE,Non
PA0699,,1,405,NE,Non
PA0700,,1,405,NE,Non
PA0701,,1,405,NE,Non
PA0702,,1,405,NE,Non
PA0703,,1,405,NE,Non
PA0704,,1,405,NE,Non
PA0705,migA,1,405,NE,Non
PA0706,cat,1,405,NE,Non
PA0707,toxR,1,405,NE,Non
PA0708,,1,405,NE,Non
PA0709,,1,405,NE,Non
PA0710,gloA2,1,405,NE,Non
PA0711,,1,405,NE,Non
PA0712,,1,405,NE,Non
PA0713,,1,405,NE,Non
PA0714,,1,405,NE,Non
PA0714.1,phrD,1,405,NE,Non
PA0715,,1,405,NE,Non
PA0716,,1,405,NE,Non
PA0717,,1,405,NE,Non
PA0718,,1,405,NE,Non
PA0719,,1,405,NE,Non
PA0720,,1,405,NE,Non
PA0721,,1,405,NE,Non
PA0722,,1,405,NE,Non
PA0723,coaB,1,405,NE,Non
PA0724,,1,405,NE,Non
PA0725,,1,405,NE,Non
PA0726,,1,405,NE,Non
PA0727,,1,405,NE,Non
PA0728,,1,405,NE,Non
PA0729,,1,405,NE,Non
PA0730,,1,405,NE,Non
PA0731,,1,405,NE,Non
PA0732,,1,405,NE,Non
PA0733,,1,405,NE,Non
PA0734,,1,405,NE,Non
PA0735,,1,405,NE,Non
PA0736,,1,405,NE,Non
PA0737,,1,405,NE,Non
PA0738,,1,405,NE,Non
PA0739,,1,405,NE,Non
PA0740,sdsA1,1,405,NE,Non
PA0741,,1,405,NE,Non
PA0742,,1,405,NE,Non
PA0743,,1,405,NE,Non
PA0744,,1,405,NE,Non
PA0745,,1,405,NE,Non
PA0746,,1,405,NE,Non
PA0747,,1,405,NE,Non
PA0748,,1,405,NE,Non
PA0749,,1,405,NE,Non
PA0750,ung,1,405,NE,Non
PA0751,,1,405,NE,Non
PA0752,,1,405,NE,Non
PA0753,,1,405,NE,Non
PA0754,,1,405,NE,Non
PA0755,opdH,1,405,NE,Non
PA0756,,1,405,NE,Non
PA0757,,1,405,NE,Non
PA0758,,1,405,NE,Non
PA0759,,1,405,E,Essential
PA0760,,1,405,NE,Non
PA0761,nadB,1,405,NE,Non
"PA0762,algU,2,""405,421"",""NE,E"",Conditional"
PA0763,mucA,1,405,NE,Non
PA0764,mucB,1,405,NE,Non
PA0765,mucC,1,405,NE,Non
PA0766,mucD,1,405,NE,Non
PA0767,lepA,1,405,NE,Non
PA0768,lepB,1,405,E,Essential
PA0769,,1,405,NE,Non
PA0770,rnc,1,405,NE,Non
PA0771,era,1,405,E,Essential
PA0772,recO,1,405,NE,Non
PA0773,pdxJ,1,405,E,Essential
PA0774,,1,405,NE,Non
PA0775,,1,405,NE,Non
PA0776,,1,405,NE,Non
PA0777,,1,405,NE,Non
PA0778,icp,1,405,NE,Non
PA0779,,1,405,NE,Non
PA0780,pruR,1,405,NE,Non
PA0781,,1,405,NE,Non
PA0782,putA,1,405,NE,Non
PA0783,putP,1,405,NE,Non
PA0784,,1,405,NE,Non
PA0785,azoR1,1,405,NE,Non
PA0786,,1,405,NE,Non
PA0787,,1,405,NE,Non
PA0788,,1,405,NE,Non
PA0789,,1,405,NE,Non
PA0790,,1,405,NE,Non
PA0791,,1,405,NE,Non
PA0792,prpD,1,405,NE,Non
PA0793,,1,405,NE,Non
PA0794,,1,405,NE,Non
PA0795,prpC,1,405,NE,Non
PA0796,prpB,1,405,NE,Non
PA0797,,1,405,NE,Non
PA0798,pmtA,1,405,NE,Non
PA0799,,1,405,NE,Non
PA0800,,1,405,NE,Non
